"filename", "language", "Python", "HTML", "MS SQL", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/gabrielmalone/Desktop/liftingdb/backend/app.py", "Python", 183, 0, 0, 0, 0, 27, 27, 237
"/Users/gabrielmalone/Desktop/liftingdb/backend/appQueries/chartQueries.py", "Python", 170, 0, 0, 0, 0, 40, 10, 220
"/Users/gabrielmalone/Desktop/liftingdb/backend/appQueries/queries.py", "Python", 800, 0, 0, 0, 0, 51, 22, 873
"/Users/gabrielmalone/Desktop/liftingdb/backend/database/liftingDB.sql", "MS SQL", 0, 0, 174, 0, 0, 28, 25, 227
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/charts/chart.umd.js", "JavaScript", 0, 0, 0, 2, 0, 12, 0, 14
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/charts/chartjs-adapter-date-fns.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/charts/lifetimeLiftDataChart.js", "JavaScript", 0, 0, 0, 132, 0, 15, 4, 151
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/charts/monthlyCharts.js", "JavaScript", 0, 0, 0, 88, 0, 12, 7, 107
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/charts/repPrHistoryChart.js", "JavaScript", 0, 0, 0, 127, 0, 21, 14, 162
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/config.js", "JavaScript", 0, 0, 0, 124, 0, 1, 23, 148
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/css/addExerciseDash.css", "PostCSS", 0, 0, 0, 0, 101, 3, 1, 105
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/css/calendar.css", "PostCSS", 0, 0, 0, 0, 138, 3, 1, 142
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/css/cursor.css", "PostCSS", 0, 0, 0, 0, 31, 3, 0, 34
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/css/dashHeaders.css", "PostCSS", 0, 0, 0, 0, 40, 3, 0, 43
"/Users/gabrielmalone/Desktop/liftingdb/frontend/static/css/header.css", "PostCSS", 0, 0, 0, 0, 65, 0, 2, 67
